1.657011548999999883e+06 5.798582260099999607e+06 2.073283130499999970e+06
1.657017878999999957e+06 5.798220820100000128e+06 2.073262820499999914e+06
1.657004628999999957e+06 5.797894380099999718e+06 2.073303170500000007e+06
1.656953429000000004e+06 5.797521670099999756e+06 2.073436760500000091e+06
1.656953638999999966e+06 5.797328410099999979e+06 2.073426600499999942e+06
1.657083758999999845e+06 5.797962190099999309e+06 2.073056580499999924e+06
1.657075868999999948e+06 5.797862950100000016e+06 2.073082590499999933e+06
1.657135429000000004e+06 5.798175060099999420e+06 2.072902840499999933e+06
1.657053219000000041e+06 5.797936310099999420e+06 2.073151520500000101e+06
1.657195989000000060e+06 5.797729530100000091e+06 2.072715680500000017e+06
1.657107148999999976e+06 5.797291130099999718e+06 2.072981610499999952e+06
1.657213918999999994e+06 5.798069240100000054e+06 2.072667630499999970e+06
1.657373328999999911e+06 5.797254900099999271e+06 2.072185250500000082e+06
1.657212008999999845e+06 5.797420700100000016e+06 2.072674540500000119e+06
1.656656358999999939e+06 5.800708920099999756e+06 2.074256840499999933e+06
1.656296939000000013e+06 5.802470420099999756e+06 2.075235630499999970e+06
1.655966868999999948e+06 5.805674960099999793e+06 2.076206460500000045e+06
1.655826338999999920e+06 5.808094270099999383e+06 2.076646370499999961e+06
1.655432249000000069e+06 5.809967690099999309e+06 2.077846300499999896e+06
1.657947588999999920e+06 5.798528360100000165e+06 2.070497240500000073e+06
1.658457518999999855e+06 5.797527220099999569e+06 2.069024010500000091e+06
1.659189219000000041e+06 5.798227560099999420e+06 2.066898210500000045e+06
1.660077499000000069e+06 5.798842270099999383e+06 2.064323670500000007e+06
1.661597378999999957e+06 5.797525450100000016e+06 2.059920690500000026e+06
1.656803338999999920e+06 5.796302430099999532e+06 2.073894490500000073e+06
1.656522288999999873e+06 5.794794940099999309e+06 2.074722560499999905e+06
1.656013168999999994e+06 5.792694370099999942e+06 2.076202280500000110e+06
1.655270719000000041e+06 5.790855320100000128e+06 2.078370700500000035e+06
1.654299249000000069e+06 5.789791150099999271e+06 2.081120310499999905e+06
1.653903508999999845e+06 5.786648570100000128e+06 2.082219430500000017e+06
1.653902518999999855e+06 5.786648780100000091e+06 2.082219430500000017e+06
1.653902518999999855e+06 5.786648780100000091e+06 2.082219430500000017e+06
